,accuracy,precision,recall,f1
Random Forest,0.9995611109160493,0.974025974025974,0.7653061224489796,0.8571428571428571
Neural Network,0.9994557775359011,0.8941176470588236,0.7755102040816326,0.8306010928961749
SVM,0.9987711105649381,0.9117647058823529,0.3163265306122449,0.4696969696969697
Logistic Regression,0.9990695551420246,0.8461538461538461,0.5612244897959183,0.6748466257668712
